ID,Task,Category,Priority,AssignedTo,EstimatedHours,Status
56,Fix alignment issues,Frontend Development,Low,,6,Pending
57,Design header and footer,QA & Testing,Medium,Aisha,12,Pending
58,Integrate payment gateway,Documentation,Low,,4,Pending
59,Privacy policy page,UI/UX Design,High,Aisha,5,Pending
60,Responsive testing (mobile),Documentation,Medium,Aisha,6,Pending
61,Add Google Analytics,QA & Testing,Low,Rahul,5,Pending
62,Test login functionality,QA & Testing,Medium,,14,Pending
63,Style buttons and links,Documentation,Medium,,5,Pending
64,Design profile page,Backend Development,Medium,,11,Pending
65,Terms of service page,UI/UX Design,Medium,,3,Pending
66,Responsive testing (mobile),UI/UX Design,Medium,,6,Pending
67,Implement forgot password,Backend Development,Medium,Priya,9,Pending
68,Responsive testing (mobile),UI/UX Design,Low,Aisha,6,Pending
69,Create user dashboard,Backend Development,High,Priya,13,Pending
70,Add Google Analytics,QA & Testing,Low,Rahul,9,Pending
71,Setup database schema,Frontend Development,Low,Rahul,11,Pending
72,Design profile page,QA & Testing,Medium,Aisha,7,Pending
73,Test login functionality,Frontend Development,Low,,7,Pending
74,Cross-browser testing,Documentation,Low,Rahul,9,Pending
75,Add Google Analytics,QA & Testing,Medium,,6,Pending
76,Privacy policy page,Documentation,Medium,,4,Pending
77,Implement logout function,Documentation,Medium,Aisha,9,Pending
78,Implement forgot password,Frontend Development,High,Priya,7,Pending
79,Design header and footer,Backend Development,Medium,Aisha,14,Pending
80,Terms of service page,UI/UX Design,Low,Rahul,5,Pending
81,Cross-browser testing,QA & Testing,High,Priya,8,Pending
82,Terms of service page,Backend Development,Low,Rahul,14,Pending
83,Add contact form,Frontend Development,Medium,Priya,4,Pending
84,Add contact form,Documentation,High,Priya,14,Pending
85,Add contact form,Documentation,Medium,Aisha,9,Pending
86,Implement logout function,Frontend Development,Low,Rahul,11,Pending
87,Fix alignment issues,Documentation,High,Aisha,13,Pending
88,Add Google Analytics,Documentation,Low,,14,Pending
89,Build login page,Backend Development,Medium,Aisha,14,Pending
90,Style buttons and links,QA & Testing,Low,Priya,12,Pending
91,Responsive testing (mobile),Frontend Development,Low,Aisha,12,Pending
92,Cross-browser testing,Documentation,Medium,Rahul,2,Pending
93,Implement forgot password,Documentation,High,Priya,10,Pending
94,Privacy policy page,QA & Testing,Low,,7,Pending
95,Terms of service page,Frontend Development,Low,,5,Pending
96,Validate email input,UI/UX Design,Medium,,7,Pending
97,Terms of service page,QA & Testing,High,,2,Pending
98,Implement logout function,Documentation,Medium,Rahul,13,Pending
99,Style buttons and links,Frontend Development,Low,Rahul,4,Pending
100,Implement logout function,Documentation,Medium,Priya,13,Pending
